Target Symbol	Chr	Gene Start	Gene End	Gene Width	Gene Strand	Gene Cytoband	Match Start	Match End	Match Width	L2R Status	L2R Value	L2R Segment Width	BAF Status	BAF Value	BAF Segment Width
STEAP1	chr7	89783688	89794141	10454	+	7q21.13	89783688	89794141	10454	Gain	0.308777728644806	20918129	Hetero	0.5	111092848
FZD1	chr7	90893782	90898132	4351	+	7q21.13	90893782	90898132	4351	Gain	0.308777728644806	20918129	Hetero	0.5	111092848
AKAP9	chr7	91570188	91739987	169800	+	7q21.2	91570188	91739987	169800	Gain	0.308777728644806	20918129	Hetero	0.5	111092848
CDK6	chr7	92234234	92465941	231708	-	7q21.2	92234234	92465941	231708	Gain	0.308777728644806	20918129	Hetero	0.5	111092848
BAIAP2L1	chr7	97920961	98030427	109467	-	7q21.3	97920961	98030427	109467	Gain	0.148277728644806	8680428	Hetero	0.5	111092848
ACTL6B	chr7	100240725	100254084	13360	-	7q22.1	100240725	100254084	13360	Gain	0.148277728644806	8680428	Hetero	0.5	111092848
EPHB4	chr7	100400186	100425143	24958	-	7q22.1	100400186	100425143	24958	Gain	0.148277728644806	8680428	Hetero	0.5	111092848
PIK3CG	chr7	106505722	106549423	43702	+	7q22.3	106505722	106549423	43702	Gain	0.302877728644806	4713419	Hetero	0.5	111092848
MET	chr7	116312412	116438440	126029	+	7q31.2	116312412	116438440	126029	Gain	0.324277728644806	14887017	Hetero	0.5	46849921
SMO	chr7	128828712	128853385	24674	+	7q32.1	128828712	128853385	24674	Gain	0.202877728644806	17536124	Hetero	0.5	46849921
KIAA1549	chr7	138516126	138666064	149939	-	7q34	138516126	138666064	149939	Gain	0.202877728644806	17536124	Hetero	0.5	46849921
BRAF	chr7	140433812	140624564	190753	-	7q34	140433812	140624564	190753	Gain	0.202877728644806	17536124	Hetero	0.5	46849921
EZH2	chr7	148504463	148581441	76979	-	7q36.1	148504463	148581441	76979	Gain	0.189177728644806	12429326	Hetero	0.5	46849921
SMARCD3	chr7	150936058	150974231	38174	-	7q36.1	150936058	150974231	38174	Gain	0.189177728644806	12429326	Hetero	0.5	46849921
RHEB	chr7	151163097	151217010	53914	-	7q36.1	151163097	151217010	53914	Gain	0.189177728644806	12429326	Hetero	0.5	46849921
KMT2C	chr7	151832009	152133090	301082	-	7q36.1	151832009	152133090	301082	Gain	0.189177728644806	12429326	Hetero	0.5	46849921
PTPRN2	chr7	157331745	158380494	1048750	-	7q36.3	157331745	158380494	1048750	Gain	0.189177728644806	12429326	Hetero	0.5	46849921
BLK	chr8	11351520	11422108	70589	+	8p23.1	11351520	11422108	70589	Normal	0.0165777286448061	19979727	Unbalanced	0.5881	19979727
LOXL2	chr8	23154409	23261722	107314	-	8p21.3	23154409	23261722	107314	Normal	0.0224777286448061	15286079	Unbalanced	0.5848	15286079
ZNF703	chr8	37553268	37557539	4272	+	8p11.23	37553268	37557539	4272	Normal	0.0224777286448061	15286079	Unbalanced	0.5848	15286079
ADGRA2	chr8	37654400	37701504	47105	+	8p11.23	37654400	37701504	47105	Normal	0.0224777286448061	15286079	Unbalanced	0.5848	15286079
FGFR1	chr8	38268655	38326352	57698	-	8p11.23	38268655	38326352	57698	Loss	-0.556222271355194	1430618	Unbalanced	0.5692	1693910
TACC1	chr8	38585703	38710546	124844	+	8p11.22	38585703	38710546	124844	Loss	-0.556222271355194	1430618	Unbalanced	0.5692	1693910
IDO1	chr8	39771327	39786309	14983	+	8p11.21	39771327	39786309	14983	Normal	0.0263777286448061	23029681	Unbalanced	0.585	23029681
PRKDC	chr8	48685668	48872743	187076	-	8q11.21	48685668	48872743	187076	Normal	0.0263777286448061	23029681	Unbalanced	0.585	23029681
PLAG1	chr8	57073467	57123859	50393	-	8q12.1	57073467	57123859	50393	Normal	0.0263777286448061	23029681	Unbalanced	0.585	23029681
MYBL1	chr8	67474409	67525484	51076	-	8q13.1	67474409	67525484	51076	Normal	0.0105777286448061	2797520	Unbalanced	0.6118	2797520
CCNE2	chr8	95892452	95907482	15031	-	8q22.1	95892452	95907482	15031	Gain	0.0858777286448061	12564816	Unbalanced	0.5931	12564816
RSPO2	chr8	108911543	109095913	184371	-	8q23.1	108911543	109095913	184371	Gain	0.0721777286448061	8923288	Unbalanced	0.5863	8923288
MYC	chr8	128748314	128753680	5367	+	8q24.21	128748314	128753680	5367	Normal	0.0471777286448061	11619665	Unbalanced	0.5801	11619665
NDRG1	chr8	134249413	134309547	60135	-	8q24.22	134249413	134309547	60135	Normal	-0.0376222713551939	4625473	Unbalanced	0.5954	4625473
PTK2	chr8	141668480	142011412	342933	-	8q24.3	141668480	142011412	342933	Normal	-0.0187222713551939	4674453	Unbalanced	0.5861	4674453
SMARCA2	chr9	2015218	2193623	178406	+	9p24.3	2015218	2193623	178406	Loss	-3.52582227135519	19049536	Unbalanced	0.7194	20117520
JAK2	chr9	4985085	5128183	143099	+	9p24.1	4985085	5128183	143099	Loss	-3.52582227135519	19049536	Unbalanced	0.7194	20117520
CD274	chr9	5450502	5470567	20066	+	9p24.1	5450502	5470567	20066	Loss	-3.52582227135519	19049536	Unbalanced	0.7194	20117520
CDKN2A	chr9	21967750	21994490	26741	-	9p21.3	21967750	21994490	26741	Loss	-3.70547465157	123988	Unbalanced	0.8371	3911535
CDKN2B	chr9	22002901	22009312	6412	-	9p21.3	22004153	22009312	5160	Loss	-4.43837563238243	8077	Unbalanced	0.8371	3911535
TEK	chr9	27109138	27230176	121039	+	9p21.2	27109138	27230176	121039	Loss	-3.65382227135519	1981205	Unbalanced	0.7461	3626310
FANCG	chr9	35073834	35080013	6180	-	9p13.3	35073834	35080013	6180	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
PAX5	chr9	36833271	37034476	201206	-	9p13.2	36833271	37034476	201206	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
GNAQ	chr9	80331189	80646365	315177	-	9q21.2	80331189	80646365	315177	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
NTRK2	chr9	87283372	87641985	358614	+	9q21.33	87283372	87641985	358614	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
SEMA4D	chr9	91975705	92094611	118907	-	9q22.2	91975705	92094611	118907	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
SYK	chr9	93563961	93660842	96882	+	9q22.2	93563961	93660842	96882	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
FANCC	chr9	97861335	98079991	218657	-	9q22.32	97861335	98079991	218657	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
PTCH1	chr9	98205263	98279247	73985	-	9q22.32	98205263	98279247	73985	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
TGFBR1	chr9	101867370	101916473	49104	+	9q22.33	101867370	101916473	49104	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
PTPA	chr9	131873227	131911225	37999	+	9q34.11	131873227	131911225	37999	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
ABL1	chr9	133589267	133763062	173796	+	9q34.12	133589267	133763062	173796	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
TSC1	chr9	135766734	135820020	53287	-	9q34.13	135766734	135820020	53287	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
BRD3	chr9	136895445	136933141	37697	-	9q34.2	136895445	136933141	37697	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
NOTCH1	chr9	139388884	139440238	51355	-	9q34.3	139388884	139440238	51355	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
EGFL7	chr9	139553307	139567130	13824	+	9q34.3	139553307	139567130	13824	Gain	0.0974777286448061	113139118	Unbalanced	0.8981	113139118
GATA3	chr10	8096666	8117164	20499	+	10p14	8096666	8117164	20499	Gain	0.197577728644806	8168335	Hetero	0.5	135308234
KIF5B	chr10	32297937	32345371	47435	-	10p11.22	32297937	32345371	47435	Gain	0.124177728644806	18915043	Hetero	0.5	135308234
NRP1	chr10	33466418	33623833	157416	-	10p11.22	33466418	33623833	157416	Gain	0.124177728644806	18915043	Hetero	0.5	135308234
FZD8	chr10	35927176	35930362	3187	-	10p11.21	35927176	35930362	3187	Gain	0.124177728644806	18915043	Hetero	0.5	135308234
RET	chr10	43572516	43625797	53282	+	10q11.21	43572516	43625797	53282	Gain	0.124177728644806	18915043	Hetero	0.5	135308234
CCDC6	chr10	61548505	61666414	117910	-	10q21.2	61548505	61666414	117910	Gain	0.305977728644806	18834144	Hetero	0.5	135308234
CDK1	chr10	62538088	62554611	16524	+	10q21.2	62538088	62554611	16524	Gain	0.305977728644806	18834144	Hetero	0.5	135308234
VCL	chr10	75757871	75879914	122044	+	10q22.2	75757871	75879914	122044	Gain	0.239077728644806	51588009	Hetero	0.5	135308234
PTEN	chr10	89623194	89731687	108494	+	10q23.31	89623194	89731687	108494	Gain	0.239077728644806	51588009	Hetero	0.5	135308234
FAS	chr10	90750315	90776818	26504	+	10q23.31	90750315	90776818	26504	Gain	0.239077728644806	51588009	Hetero	0.5	135308234
KIF11	chr10	94352824	94415152	62329	+	10q23.33	94352824	94415152	62329	Gain	0.239077728644806	51588009	Hetero	0.5	135308234
BTRC	chr10	103113789	103317078	203290	+	10q24.32	103113789	103317078	203290	Gain	0.239077728644806	51588009	Hetero	0.5	135308234
SUFU	chr10	104263718	104393214	129497	+	10q24.32	104263718	104393214	129497	Gain	0.239077728644806	51588009	Hetero	0.5	135308234
FGFR2	chr10	123237843	123357972	120130	-	10q26.13	123237843	123357972	120130	Gain	0.155077728644806	11202503	Hetero	0.5	135308234
HRAS	chr11	532241	535567	3327	-	11p15.5	532241	535567	3327	Loss	-0.550222271355194	29815327	Unbalanced	0.8724	29815399
IGF2	chr11	2150341	2170833	20493	-	11p15.5	2150341	2170833	20493	Loss	-0.550222271355194	29815327	Unbalanced	0.8724	29815399
CARS	chr11	3022151	3078681	56531	-	11p15.4	3022151	3078681	56531	Loss	-0.550222271355194	29815327	Unbalanced	0.8724	29815399
WEE1	chr11	9595227	9611313	16087	+	11p15.4	9595227	9611313	16087	Loss	-0.550222271355194	29815327	Unbalanced	0.8724	29815399
LDHA	chr11	18415935	18429765	13831	+	11p15.1	18415935	18429765	13831	Loss	-0.550222271355194	29815327	Unbalanced	0.8724	29815399
FANCF	chr11	22644078	22647387	3310	-	11p14.3	22644078	22647387	3310	Loss	-0.550222271355194	29815327	Unbalanced	0.8724	29815399
WT1	chr11	32409321	32457081	47761	-	11p13	32409321	32457081	47761	Gain	0.183677728644806	6722707	Hetero	0.5	63594366
VEGFB	chr11	64002055	64006736	4682	+	11q13.1	64002055	64006736	4682	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
MEN1	chr11	64570985	64578766	7782	-	11q13.1	64570985	64578766	7782	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
DPF2	chr11	65101224	65120451	19228	+	11q13.1	65101224	65120451	19228	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
LRP5	chr11	68080076	68216743	136668	+	11q13.2	68080076	68216743	136668	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
CCND1	chr11	69455872	69469242	13371	+	11q13.3	69455872	69469242	13371	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
FGF19	chr11	69513005	69519106	6102	-	11q13.3	69513005	69519106	6102	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
FGF4	chr11	69587796	69590171	2376	-	11q13.3	69587796	69590171	2376	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
FGF3	chr11	69624735	69634192	9458	-	11q13.3	69624735	69634192	9458	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
FOLR1	chr11	71900601	71907367	6767	+	11q13.4	71900601	71907367	6767	Gain	0.232277728644806	37392135	Hetero	0.5	63594366
MRE11A	chr11	94150468	94227040	76573	-	11q21	94150468	94227040	76573	Loss	-0.513022271355194	41310521	Unbalanced	0.8895	41310521
PGR	chr11	100900354	101000544	100191	-	11q22.1	100900354	101000544	100191	Loss	-0.513022271355194	41310521	Unbalanced	0.8895	41310521
ATM	chr11	108093558	108239826	146269	+	11q22.3	108093558	108239826	146269	Loss	-0.513022271355194	41310521	Unbalanced	0.8895	41310521
KMT2A	chr11	118307204	118397539	90336	+	11q23.3	118307204	118397539	90336	Loss	-0.513022271355194	41310521	Unbalanced	0.8895	41310521
CBL	chr11	119076985	119178859	101875	+	11q23.3	119076985	119178859	101875	Loss	-0.513022271355194	41310521	Unbalanced	0.8895	41310521
CHEK1	chr11	125495030	125546150	51121	+	11q24.2	125495030	125546150	51121	Loss	-0.513022271355194	41310521	Unbalanced	0.8895	41310521
CCND2	chr12	4382901	4414522	31622	+	12p13.32	4382901	4414522	31622	Gain	0.618377728644806	10899582	Unbalanced	0.636	10899582
FGF23	chr12	4477392	4488894	11503	-	12p13.32	4477392	4488894	11503	Gain	0.618377728644806	10899582	Unbalanced	0.636	10899582
FGF6	chr12	4543307	4554780	11474	-	12p13.32	4543307	4554780	11474	Gain	0.618377728644806	10899582	Unbalanced	0.636	10899582
ETV6	chr12	11802787	12048325	245539	+	12p13.2	11802787	12048325	245539	Gain	0.675577728644806	3225460	Unbalanced	0.6259	3225460
LRP6	chr12	12268960	12419811	150852	-	12p13.2	12268960	12419811	150852	Gain	0.675577728644806	3225460	Unbalanced	0.6259	3225460
CDKN1B	chr12	12870203	12875316	5114	+	12p13.1	12870203	12875316	5114	Gain	0.675577728644806	3225460	Unbalanced	0.6259	3225460
GUCY2C	chr12	14765565	14849519	83955	-	12p13.1	14765565	14849519	83955	Gain	0.92972385841577	1358270	Unbalanced	0.7003	1532465
LDHB	chr12	21788275	21810789	22515	-	12p12.1	21788275	21810789	22515	Gain	0.724377728644806	8527529	Unbalanced	0.6338	8527529
KRAS	chr12	25357722	25403865	46144	-	12p12.1	25357722	25403865	46144	Gain	0.724377728644806	8527529	Unbalanced	0.6338	8527529
PPFIBP1	chr12	27677044	27848497	171454	+	12p11.23	27677044	27848497	171454	Gain	0.724377728644806	8527529	Unbalanced	0.6338	8527529
H3F3C	chr12	31944118	31945175	1058	-	12p11.21	31944118	31945175	1058	Gain	0.619977728644806	3176281	Unbalanced	0.6414	3176281
ARID2	chr12	46123619	46301819	178201	+	12q12	46123619	46301819	178201	Gain	0.347977728644806	6399337	Hetero	0.5	101282301
WNT1	chr12	49372235	49376396	4162	+	12q13.12	49372235	49376396	4162	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
KMT2D	chr12	49412757	49449107	36351	-	12q13.12	49412757	49449107	36351	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
SMARCD1	chr12	50478982	50494494	15513	+	12q13.12	50478982	50494494	15513	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
CDK2	chr12	56360552	56366573	6022	+	12q13.2	56360552	56366573	6022	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
ERBB3	chr12	56473808	56497291	23484	+	12q13.2	56473808	56497291	23484	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
SMARCC2	chr12	56555635	56583351	27717	-	12q13.2	56555635	56583351	27717	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
CS	chr12	56665482	56694175	28694	-	12q13.3	56665482	56694175	28694	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
STAT2	chr12	56735381	56754037	18657	-	12q13.3	56735381	56754037	18657	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
STAT6	chr12	57489186	57505196	16011	-	12q13.3	57489186	57505196	16011	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
B4GALNT1	chr12	58019677	58027022	7346	-	12q13.3	58019677	58027022	7346	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
CDK4	chr12	58141509	58146230	4722	-	12q14.1	58141509	58146230	4722	Gain	0.195377728644806	11505469	Hetero	0.5	101282301
LRIG3	chr12	59265936	59314319	48384	-	12q14.1	59265936	59314319	48384	Gain	0.317577728644806	34019318	Hetero	0.5	101282301
TBK1	chr12	64845839	64895899	50061	+	12q14.2	64845839	64895899	50061	Gain	0.317577728644806	34019318	Hetero	0.5	101282301
MDM2	chr12	69201951	69239324	37374	+	12q15	69201951	69239324	37374	Gain	0.317577728644806	34019318	Hetero	0.5	101282301
APAF1	chr12	99039077	99129211	90135	+	12q23.1	99039077	99129211	90135	Gain	0.193777728644806	17101706	Hetero	0.5	101282301
IGF1	chr12	102789644	102874423	84780	-	12q23.2	102789644	102874423	84780	Gain	0.193777728644806	17101706	Hetero	0.5	101282301
PTPN11	chr12	112856535	112947717	91183	+	12q24.13	112856535	112947717	91183	Normal	-0.00857047163026461	3723788	Hetero	0.5	101282301
RAB35	chr12	120532898	120554643	21746	-	12q24.23	120532898	120554643	21746	Gain	0.193777728644806	20588395	Hetero	0.5	101282301
HNF1A	chr12	121416370	121440314	23945	+	12q24.31	121416370	121440314	23945	Gain	0.193777728644806	20588395	Hetero	0.5	101282301
SETD1B	chr12	122242637	122270562	27926	+	12q24.31	122242637	122270562	27926	Gain	0.193777728644806	20588395	Hetero	0.5	101282301
BCL7A	chr12	122459791	122499950	40160	+	12q24.31	122459791	122499950	40160	Gain	0.193777728644806	20588395	Hetero	0.5	101282301
POLE	chr12	133200347	133264110	63764	-	12q24.33	133200347	133264110	63764	Gain	0.193777728644806	20588395	Hetero	0.5	101282301
CDK8	chr13	26828240	26979373	151134	+	13q12.13	26828240	26979373	151134	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
FLT3	chr13	28577410	28674729	97320	-	13q12.2	28577410	28674729	97320	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
FLT1	chr13	28874482	29069265	194784	-	13q12.2	28874482	29069265	194784	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
BRCA2	chr13	32889616	32973809	84194	+	13q13.1	32889616	32973809	84194	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
CCNA1	chr13	37005966	37017019	11054	+	13q13.3	37005966	37017019	11054	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
TNFSF11	chr13	43136871	43182149	45279	+	13q14.11	43136871	43182149	45279	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
SUCLA2	chr13	48516790	48575462	58673	-	13q14.2	48516790	48575462	58673	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
RB1	chr13	48877882	49056026	178145	+	13q14.2	48877882	49056026	178145	Gain	0.224877728644806	37687874	Hetero	0.5	37687874
FGF14	chr13	102373204	103054778	681575	-	13q33.1	102373204	103054778	681575	Gain	0.309977728644806	7472363	Hetero	0.5	57467094
TNFSF13B	chr13	108921976	108960832	38857	+	13q33.3	108921976	108960832	38857	Gain	0.309977728644806	7472363	Hetero	0.5	57467094
IRS2	chr13	110406183	110438914	32732	-	13q34	110406183	110438914	32732	Gain	0.138362212462516	4117247	Hetero	0.5	57467094
BCL2L2	chr14	23775970	23780968	4999	+	14q11.2	23775970	23780968	4999	Gain	0.289977728644806	27611584	Hetero	0.5	87062942
NFKBIA	chr14	35870715	35873960	3246	-	14q13.2	35870715	35873960	3246	Gain	0.289977728644806	27611584	Hetero	0.5	87062942
NKX2-1	chr14	36985603	36989430	3828	-	14q13.3	36985603	36989430	3828	Gain	0.289977728644806	27611584	Hetero	0.5	87062942
DPF3	chr14	73086003	73360824	274822	-	14q24.2	73086003	73360824	274822	Gain	0.204277728644806	15905286	Hetero	0.5	87062942
TSHR	chr14	81421868	81612646	190779	+	14q31.1	81421868	81612646	190779	Gain	0.312277728644806	6706031	Hetero	0.5	87062942
BCL11B	chr14	99635624	99738050	102427	-	14q32.2	99635624	99738050	102427	Gain	0.190677728644806	20701366	Hetero	0.5	87062942
HSP90AA1	chr14	102547074	102606086	59013	-	14q32.31	102547074	102606086	59013	Gain	0.190677728644806	20701366	Hetero	0.5	87062942
KLC1	chr14	104095524	104167888	72365	+	14q32.33	104095524	104167888	72365	Gain	0.190677728644806	20701366	Hetero	0.5	87062942
AKT1	chr14	105235686	105262080	26395	-	14q32.33	105235686	105262080	26395	Gain	0.190677728644806	20701366	Hetero	0.5	87062942
NUTM1	chr15	34635515	34649938	14424	+	15q14	34635515	34649938	14424	Normal	-0.0528222713551939	10858830	Unbalanced	0.583	10858830
RAD51	chr15	40987326	41024356	37031	+	15q15.1	40987326	41024356	37031	Normal	-0.0404222713551939	3684076	Unbalanced	0.5872	3684076
DLL4	chr15	41221530	41231258	9729	+	15q15.1	41221530	41231258	9729	Normal	-0.0404222713551939	3684076	Unbalanced	0.5872	3684076
CCNB2	chr15	59397283	59417244	19962	+	15q22.2	59397283	59417244	19962	Normal	0.00537772864480606	2185053	Unbalanced	0.5976	2185053
MAP2K1	chr15	66679210	66783882	104673	+	15q22.31	66679210	66783882	104673	Normal	0.0274777286448061	13283750	Unbalanced	0.5781	13283750
SMAD3	chr15	67358194	67487533	129340	+	15q22.33	67358194	67487533	129340	Normal	0.0274777286448061	13283750	Unbalanced	0.5781	13283750
PKM	chr15	72491369	72523965	32597	-	15q23	72491369	72523965	32597	Normal	0.0274777286448061	13283750	Unbalanced	0.5781	13283750
NTRK3	chr15	88419987	88799962	379976	-	15q25.3	88419987	88799962	379976	Normal	-0.0167222713551939	12478688	Unbalanced	0.583	12478688
IDH2	chr15	90627210	90645786	18577	-	15q26.1	90627210	90645786	18577	Normal	-0.0167222713551939	12478688	Unbalanced	0.583	12478688
BLM	chr15	91260557	91358692	98136	+	15q26.1	91260557	91358692	98136	Normal	-0.0167222713551939	12478688	Unbalanced	0.583	12478688
IGF1R	chr15	99191767	99507759	315993	+	15q26.3	99191767	99507759	315993	Normal	0.0222777286448061	10990739	Unbalanced	0.5908	10990739
AXIN1	chr16	337439	402676	65238	-	16p13.3	337439	402676	65238	Normal	0.0435634780166979	2208956	Hetero	0.5	71631492
TSC2	chr16	2097895	2138721	40827	+	16p13.3	2097895	2138721	40827	Normal	0.0435634780166979	2208956	Hetero	0.5	71631492
CREBBP	chr16	3775055	3930121	155067	-	16p13.3	3775055	3930121	155067	Gain	0.170377728644806	21233133	Hetero	0.5	71631492
GRIN2A	chr16	9847261	10276611	429351	-	16p13.2	9847261	10276611	429351	Gain	0.170377728644806	21233133	Hetero	0.5	71631492
SOCS1	chr16	11348273	11350039	1767	-	16p13.13	11348273	11350039	1767	Gain	0.170377728644806	21233133	Hetero	0.5	71631492
PALB2	chr16	23614482	23652678	38197	-	16p12.2	23614482	23652678	38197	Normal	0.0237777286448061	1944471	Hetero	0.5	71631492
PLK1	chr16	23690092	23701688	11597	+	16p12.2	23690092	23701688	11597	Normal	0.0237777286448061	1944471	Hetero	0.5	71631492
PRRT2	chr16	29823408	29827202	3795	+	16p11.2	29823408	29827202	3795	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
MAPK3	chr16	30125425	30134630	9206	-	16p11.2	30125425	30134630	9206	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
BCL7C	chr16	30845361	30905623	60263	-	16p11.2	30845361	30905623	60263	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
SETD1A	chr16	30968614	30995983	27370	+	16p11.2	30968614	30995983	27370	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
FUS	chr16	31191430	31206192	14763	+	16p11.2	31191430	31206192	14763	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
BRD7	chr16	50352928	50402845	49918	-	16q12.1	50352928	50402845	49918	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
NUP93	chr16	56764016	56878861	114846	+	16q13	56764016	56878861	114846	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
CBFB	chr16	67063049	67134958	71910	+	16q22.1	67063049	67134958	71910	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
CTCF	chr16	67596309	67673088	76780	+	16q22.1	67596309	67673088	76780	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
CDH1	chr16	68771192	68869445	98254	+	16q22.1	68771192	68869445	98254	Gain	0.225577728644806	46207941	Hetero	0.5	71631492
FANCA	chr16	89803958	89883065	79108	-	16q24.3	89803958	89883065	79108	Gain	0.175577728644806	17510700	Hetero	0.5	17510700
TP53	chr17	7571719	7590868	19150	-	17p13.1	7571719	7590868	19150	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
AURKB	chr17	8108048	8113944	5897	-	17p13.1	8108048	8113944	5897	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
MAP2K4	chr17	11924134	12047148	123015	+	17p12	11924134	12047148	123015	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
FLCN	chr17	17115526	17140502	24977	-	17p11.2	17115526	17140502	24977	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
GID4	chr17	17942610	17971718	29109	+	17p11.2	17942610	17971718	29109	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
NF1	chr17	29421944	29704695	282752	+	17q11.2	29421944	29704695	282752	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
CDK12	chr17	37617763	37690818	73056	+	17q12	37617763	37690818	73056	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
ERBB2	chr17	37844336	37884915	40580	+	17q12	37844336	37884915	40580	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
RARA	chr17	38465422	38513895	48474	+	17q21.2	38465422	38513895	48474	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
TOP2A	chr17	38544772	38574202	29431	-	17q21.2	38544772	38574202	29431	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
SMARCE1	chr17	38783975	38804103	20129	-	17q21.2	38783975	38804103	20129	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
STAT5B	chr17	40351194	40428424	77231	-	17q21.2	40351194	40428424	77231	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
STAT5A	chr17	40439564	40463960	24397	+	17q21.2	40439564	40463960	24397	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
STAT3	chr17	40465342	40540513	75172	-	17q21.2	40465342	40540513	75172	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
BRCA1	chr17	41196311	41277500	81190	-	17q21.31	41196311	41277500	81190	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
ETV4	chr17	41605210	41623800	18591	-	17q21.31	41605210	41623800	18591	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
SPOP	chr17	47676245	47755525	79281	-	17q21.33	47676245	47755525	79281	Gain	0.172077728644806	49706000	Hetero	0.5	79862469
RNF43	chr17	56429860	56494943	65084	-	17q22	56429860	56494943	65084	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
CLTC	chr17	57697049	57774317	77269	+	17q23.1	57697049	57774317	77269	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
RPS6KB1	chr17	57970406	58027786	57381	+	17q23.1	57970406	58027786	57381	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
PPM1D	chr17	58677543	58743640	66098	+	17q23.2	58677543	58743640	66098	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
BRIP1	chr17	59756546	59940920	184375	-	17q23.2	59756546	59940920	184375	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
SMARCD2	chr17	61909440	61920351	10912	-	17q23.3	61909440	61920351	10912	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
CD79B	chr17	62006095	62009714	3620	-	17q23.3	62006095	62009714	3620	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
GNA13	chr17	63005406	63052920	47515	-	17q24.1	63005406	63052920	47515	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
PRKAR1A	chr17	66409763	66547457	137695	+	17q24.2	66409763	66547457	137695	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
H3F3B	chr17	73772514	73776016	3503	-	17q25.1	73772514	73776016	3503	Gain	0.172077728644806	25261508	Hetero	0.5	79862469
